,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
103,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
106,MILWAUKIE #1,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
204,WOODLAWN,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
206,IRVINGTON COMMUNITY ASSOCIATION,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
223,SULLIVAN'S GULCH,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
229,GRANT PARK,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
230,KERNS,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
245,CONCORDIA,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
260,BEAUMONT-WILSHIRE,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
262,ALAMEDA,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
278,BROOKLYN ACTION CORPS,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
281,HOSFORD-ABERNETHY NEIGHBORHOOD DISTRICT ASSOCIATION,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
283,BUCKMAN COMMUNITY ASSOCIATION,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
354,NORTH MILWAUKIE INDUSTRIAL AREA,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
356,HISTORIC MILWAUKIE,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
404,SUNDERLAND ASSOCIATION OF NEIGHBORS,122,070,0,0700,12th/NE 33rd Ave,To 33rd & Sunderland,70,BUS
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
18,VERNON,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
204,WOODLAWN,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
206,IRVINGTON COMMUNITY ASSOCIATION,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
207,SABIN COMMUNITY ASSN./IRVINGTON COMMUNITY ASSN.,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
223,SULLIVAN'S GULCH,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
235,PORTLAND DOWNTOWN,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
261,SABIN COMMUNITY ASSOCIATION,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
276,OLD TOWN/ CHINATOWN,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
280,SOUTHWEST HILLS RESIDENTIAL LEAGUE,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
301,SOUTH PORTLAND,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
302,HOMESTEAD,9,008,0,0080,Jackson Park/NE 15th,To Marquam Hill,8,BUS
